trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.6556592205741436}",25,17,1.6534524010085334,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.6491026283684022}",30,12,-37.96919928933448,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.6426116020847181}",20,0,-24.728888364249013,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.4, 'e': 0.6361854860638709}",25,0,-46.96198383268928,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
46,False,"{'a': 0.4, 'e': 0.6298236312032323}",20,0,-39.08517751496233,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.6235253948912}",25,0,-10.014009345080439,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.4, 'e': 0.617290140942288}",20,0,-73.20166098052489,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.4, 'e': 0.6111172395328651}",25,9,1.3812815060255719,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.6050060671375365}",20,0,24.35015666616042,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.5989560064661611}",25,0,-63.5489402262527,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.5929664464014994}",20,8,-87.33499322854587,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.5870367819374844}",20,14,-29.280722143111916,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.4, 'e': 0.5811664141181095}",20,5,-46.156735656137684,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.5753547499769285}",20,0,-36.398300054298694,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
56,False,"{'a': 0.4, 'e': 0.5696012024771592}",25,12,-33.42614916268157,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.5639051904523876}",30,0,-62.61420116734,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.4, 'e': 0.5582661385478638}",25,7,4.817169379832507,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.5526834771623851}",25,0,-94.01883865014103,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.4, 'e': 0.5471566423907612}",25,0,-48.170078853029345,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.5416850759668536}",20,11,10.83635976066602,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.536268225207185}",25,11,12.184014580515985,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.5309055429551132}",30,0,-58.46881845446297,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.525596487525562}",25,14,15.488573880763862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.5203405226503064}",25,7,15.506684394212488,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.5151371174238033}",20,0,-100.47145795869983,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.4, 'e': 0.5099857462495653}",25,9,-61.13362849042628,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.4, 'e': 0.5048858887870696}",25,8,25.933520956500313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.4998370298991989}",20,0,-21.62405488999264,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.49483865960020695}",25,9,-57.8011255397439,"{0: 11, 1: 1, 2: 1, 3: 3, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.4898902730042049}",25,0,-106.57458069472253,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
72,False,"{'a': 0.4, 'e': 0.48499137027416284}",25,1,-174.26297553290587,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 2}",1
73,False,"{'a': 0.4, 'e': 0.4801414565714212}",25,0,-62.08529243676764,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
74,False,"{'a': 0.4, 'e': 0.475340042005707}",20,13,11.135822277224808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.47058664158564995}",25,17,-10.46097933043828,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.4658807751697934}",30,12,-55.07023237232936,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
77,False,"{'a': 0.4, 'e': 0.4612219674180955}",30,12,30.5062013104222,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.45660974774391455}",30,8,-107.62823608439952,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 2}",1
79,False,"{'a': 0.4, 'e': 0.4520436502664754}",20,0,19.33027362546154,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
